Date,Status,Test name,Parameters,Log,Error description,
2020 10 21 17:34:15,FAILED,Subset_076_6_3_4100103_17_v300,,Subset_076_6_3_4100103_17_Tfe_2020-10-21_17-26-25.log,"",
2020 10 21 17:09:16,FAILED,Subset_076_6_3_4080402_01_v300,,Subset_076_6_3_4080402_01_Tfe_2020-10-21_16-59-43.log," =====>1872:             AutoVerify = TestControl.Movement.Position.CheckGreaterEqual(2630, 50 * 1000);",
2020 10 21 16:54:51,FAILED,Subset_076_6_3_3070300_02_v300,,Subset_076_6_3_3070300_02_Tfe_2020-10-21_16-49-58.log," =====>1056:             AutoVerify = Vehicle.DMI1.ExpectTextMessage(701, MmiQTextCriteria.Informative, 30 * 1000);",
2020 10 14 17:05:38,FAILED,SS026_BALISE_0148,,SS026_BALISE_0148_Tfe_2020-10-14_17-00-48.log," =====> 265:             AutoVerify = Track.EuroRadio.ExpectPacket(new List<Dictionary<string, List<int>>> { ",
2020 10 09 15:58:02,FAILED,SS026_PROC_0051,,SS026_PROC_0051_Tfe_2020-10-09_15-54-01.log,"",
2020 10 09 11:45:54,FAILED,AS_TI_0088,,AS_TI_0088_Tfe_2020-10-09_11-45-13.log,"",
2020 10 09 11:37:44,FAILED,SS026_SPEC_0016,Q_relEBmodeRVatSS_Param=1,SS026_SPEC_0016_Tfe_2020-10-09_11-36-52.log,"",
2020 10 09 11:36:50,FAILED,SS026_SPEC_0016,Q_relEBmodeRVatSS_Param=0,SS026_SPEC_0016_Tfe_2020-10-09_11-35-37.log,"",
2020 10 09 11:35:36,FAILED,STM_035_0052,,STM_035_0052_Tfe_2020-10-09_11-34-55.log,"",
2020 10 09 11:34:53,FAILED,STM_035_0016,,STM_035_0016_Tfe_2020-10-09_11-34-12.log,"",
2020 10 09 11:29:47,FAILED,SS026_PROC_0016,,SS026_PROC_0016_Tfe_2020-10-09_11-29-05.log,"",
2020 10 09 11:22:39,FAILED,SS026_MTEL_0106,,SS026_MTEL_0106_Tfe_2020-10-09_11-22-00.log,"",
2020 10 09 11:21:59,FAILED,SS026_BALISE_0148,,SS026_BALISE_0148_Tfe_2020-10-09_11-21-07.log,"",
2020 10 08 21:13:47,FAILED,AS_AS_0087,,AS_AS_0087_Tfe_2020-10-08_21-13-01.log,"",
2020 10 08 19:55:34,FAILED,AS_TI_0006,,AS_TI_0006_Tfe_2020-10-08_19-54-54.log,"",
2020 10 08 19:50:36,FAILED,SS026_SPEC_0016,Q_relEBmodeRVatSS_Param=1,SS026_SPEC_0016_Tfe_2020-10-08_19-49-09.log,"",
2020 10 08 19:05:18,FAILED,SS026_PROC_0016,,SS026_PROC_0016_Tfe_2020-10-08_19-04-44.log,"",
2020 10 08 19:04:42,FAILED,SS026_MODE_0050,,SS026_MODE_0050_Tfe_2020-10-08_19-03-55.log,"",
2020 10 08 19:03:53,FAILED,SS026_BALISE_0148,,SS026_BALISE_0148_Tfe_2020-10-08_19-03-07.log,"",
2020 10 08 18:52:16,FAILED,SS026_MODE_0050,,SS026_MODE_0050_Tfe_2020-10-08_18-51-32.log,"",
2020 10 08 18:47:13,FAILED,SS026_BALISE_0148,,SS026_BALISE_0148_Tfe_2020-10-08_18-46-28.log,"",
2020 10 08 18:21:24,FAILED,AS_AS_0487,,AS_AS_0487_Tfe_2020-10-08_18-20-50.log,"",
2020 10 08 18:18:01,FAILED,AS_AS_0087,,AS_AS_0087_Tfe_2020-10-08_18-17-28.log,"",
2020 10 08 18:00:19,FAILED,Subset_076_6_3_3050700_05_v320,,Subset_076_6_3_3050700_05_v320_Tfe_2020-10-08_17-54-35.log," =====> 902:             AutoVerify = Track.EuroRadio.NetworkInfo.SaConnectStatus.Check(s => s == Request, SaConnectStatus is Request, 60 * 1000);",
2020 10 08 13:44:14,FAILED,Subset_076_6_3_3050700_05_v320,,Subset_076_6_3_3050700_05_v320_Tfe_2020-10-08_13-38-49.log," =====> 902:             AutoVerify = Track.EuroRadio.NetworkInfo.SaConnectStatus.Check(s => s == Request, SaConnectStatus is Request, 60 * 1000);",
2020 10 08 13:38:05,FAILED,Subset_076_6_3_3050700_05_v320,,Subset_076_6_3_3050700_05_v320_Tfe_2020-10-08_13-36-03.log,"",
2020 10 08 13:33:31,FAILED,Subset_076_6_3_3050700_05_v320,,Subset_076_6_3_3050700_05_v320_Tfe_2020-10-08_13-31-28.log,"",
2020 10 08 13:27:04,FAILED,Subset_076_6_3_3050700_05_v320,,Subset_076_6_3_3050700_05_v320_Tfe_2020-10-08_13-25-02.log," =====> 273:             AutoVerify = StartSimulators(@SS076_BL3.6\tdg\Subset_076_6_3_3050700_05_v320, @SS076_BL3.6\utt\Subset_076_6_3_3050700_05_v320);",
2020 09 28 17:15:29,FAILED,AS_AS_0001,,AS_AS_0001_Tfe_2020-09-28_17-12-17.log,"",
2020 09 22 12:44:52,FAILED,AS_AS_0001,,AS_AS_0001_Tfe_2020-09-22_12-40-27.log,"",
2020 09 18 16:30:16,FAILED,Subset_076_6_3_3180300_01_v300,,Subset_076_6_3_3180300_01_Tfe_2020-09-18_16-26-06.log," =====>1030: 			 AutoVerify = Vehicle.DMI1.ActiveForm.CheckEq((int)DialogForms.TrainDataForm, 5 * 1000);",
2020 09 18 11:24:02,FAILED,Subset_076_6_3_3180300_01_v300,,Subset_076_6_3_3180300_01_Tfe_2020-09-18_11-18-54.log," =====>1135:              AutoVerify = Track.EuroRadio.RbcMessage.IsFound(RbcMask.RbcMessage(129).Data(NC_CDTRAIN, 5).Data(NC_TRAIN, 4), 60 * 1000);",
